 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.059559   -0.234055    0.171661 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     2     7    -0.0574295     0.0587670     0.0218111     0.69240     0.00012
     2     8    -3.4639286     0.4296516     0.1356785     0.83860     0.25069
     2     9    -1.6631251     0.5424581     0.1600708     0.89990     0.06803
     2    10     1.3501812     0.7863780     0.1180182     1.04260     0.06272
     2    11     0.0149587     0.0695323     0.1023130     1.14650     0.00044
     2    12     0.2198324     0.0244781    -0.0164959     1.23710     0.00149
     2    13     0.5392069    -0.5284388    -0.1000335     1.29050     0.01834
     2    14    -0.9997305    -0.1528967     0.0429109     1.51680     0.03808
     2    15    -0.6616514     0.9154109     0.1471110     1.54080     0.04898
     2    16    -0.8368546     0.0894186    -0.0901369     1.62870     0.02859
     2    17    -0.4851710     0.2385902     0.0628302     1.64780     0.01196
     2    18    -0.7643776     0.3364339     0.1319844     1.69320     0.02966
     2    19    -1.6644858    -1.2553219    -0.1164652     1.86090     0.19877
     2    20    -2.0909067     0.8028617     0.2304593     1.98380     0.24639
     2    21    -0.3045181     0.1806345     0.0337424     2.06320     0.00639
     2    22    -0.2046520    -0.1685306    -0.0271776     2.26550     0.00394
     2    23    -0.2113470    -0.1758069    -0.0459649     2.27400     0.00433
     2    24     0.0030105     0.0250169     0.0085202     2.29830     0.00004
     2    25    -0.2040671    -0.1510032    -0.0148432     2.31380     0.00367
     2    26    -0.0380106     0.1421811     0.0085079     2.40860     0.00128
     2    27     0.0746722    -0.4837114    -0.0993141     2.45160     0.01498
     2    28     0.3213327    -0.1552598    -0.0860955     2.47890     0.00819
     2    29    -0.5685163     0.0109643    -0.0528254     2.52530     0.02018
     2    30     0.3425268    -0.0050421     0.0071955     2.53720     0.00730
     2    31    -0.0651986    -0.3242069     0.0086073     2.56660     0.00688
     2    32     0.0817135    -0.0256524    -0.0177805     2.66680     0.00050
     2    33    -0.0412982    -0.0515378     0.0101162     2.68000     0.00029
     2    34     0.0000000     0.0000000     0.0000000     2.73760     0.00000
     2    35    -1.4186687     0.4158546     0.0847607     2.78950     0.14986
     2    36     0.4172789    -0.2387459    -0.0481670     2.84570     0.01628
     2    37     0.0085307    -0.0273261     0.0226638     2.86480     0.00009
     2    38    -0.0119627     0.0371488    -0.0045178     2.87730     0.00011
     2    39     0.4501430    -0.1493362    -0.0958560     2.92930     0.01680
     2    40     0.0267974     0.0387553    -0.0134873     2.98130     0.00018
     3     3     1.6298626    -1.5634667    -0.1273440     0.00000     0.00000
     3     4     0.3869404    -0.2211729    -0.0433241     0.20760     0.00102
     3     5     0.3622835     0.1138275     0.0174691     0.24570     0.00087
     3     6    -0.2747395    -0.1002760    -0.0049694     0.37580     0.00079
     3     7    -0.3932722     0.0217560     0.0277296     0.48180     0.00184
     3     8    -1.1861025     0.5589830     0.1082116     0.62800     0.02663
     3     9    -1.4889858     0.4477134     0.0282770     0.68930     0.04084
     3    10    -0.7751840    -0.1266562     0.0276838     0.83200     0.01259
     3    11    -0.7877146     0.0694001     0.0515557     0.93590     0.01440
     3    12     0.1527517    -0.0162872    -0.0112942     1.02650     0.00060
     3    13     0.1618676    -0.0183199    -0.0561238     1.07990     0.00079
     3    14     0.1978949    -0.1341112     0.0314914     1.30620     0.00186
     3    15     3.0939921     0.3679801     0.0110900     1.33020     0.31639
     3    16     0.2168809    -0.1682099     0.0121212     1.41810     0.00262
     3    17     1.4874481     0.1083129    -0.0221140     1.43720     0.07833
     3    18     2.0747013    -0.0912205    -0.0469715     1.48260     0.15673
     3    19    -4.3026948    -0.1947563     0.0599535     1.65030     0.75020
     3    20     2.9616450     0.7092107     0.0508217     1.77320     0.40301
     3    21     0.0399611     0.3582940     0.0479144     1.85260     0.00600
